26282	0	74327
8046	1	49401
38884	1	15159
16557	2	57790
39344	1	17195
45680	1	45650
4672	3	7549
76260	3	28515
61783	1	62733
11990	1	28515
14153	4	3118
37106	5	28423
6117	1	641
4194	3	45008
75550	1	76518
35836	1	23410
6795	1	37145
28682	1	63472
54093	6	75823
4765	2	49620
50909	1	73743
6189	1	10807
3982	1	21405
67852	7	61185
23299	1	62964
21374	8	35229
62172	9	7499
73904	3	25262
13404	10	50195
54195	1	49699
43060	11	34040
68798	12	64005
55694	13	7259
26029	3	12808
63517	12	66554
59235	3	50300
49159	12	75879
50951	2	64995
4426	8	25857
6727	1	60374
20616	4	23588
47030	9	12087
65124	1	18354
71692	1	28797
19775	4	4812
25880	1	61772
65932	3	43510
18802	1	73308
66863	1	12641
50198	1	4118
7223	8	68292
42351	2	6700
55264	3	66145
51587	10	42126
40926	14	23233
38139	4	49776
73092	1	24931
43063	9	5423
26833	2	46802
41795	3	19989
34155	1	72778
59359	1	63591
53438	9	16375
3696	5	67952
41202	3	50184
19432	4	50777
10188	4	65191
57326	2	66773
22786	1	47151
14021	8	29359
24131	1	43552
28717	2	43726
3496	2	1415
13976	1	22521
71962	1	65845
5649	4	44616
65756	1	48876
31557	2	40058
46379	2	62252
62204	1	10246
311	1	32539
45380	1	35710
22100	2	75538
65464	3	71127
2055	1	48218
11399	15	41527
12549	9	52145
66493	10	25752
67338	1	37145
40491	1	65922
24278	1	71548
37911	4	33008
13336	4	64930
38921	4	47096
47010	3	72778
318	4	9146
71966	5	25477
60133	1	10598
68026	3	62215
45972	9	34069
8317	4	34891
53554	4	47049
2824	4	4274
45190	8	36347
53989	16	29514
7245	1	20501
13362	3	50184
9774	2	48130
73030	1	63832
18522	3	20261
53476	4	16105
28276	10	75452
60536	1	6912
61083	1	19269
73638	9	70592
32600	3	41360
74868	1	44782
70671	1	67508
55000	1	75512
31792	1	31757
14954	3	45131
32539	17	726
36102	9	6096
2263	0	13416
69658	4	3590
53469	1	57561
26785	13	15704
33892	4	31460
15542	3	34577
29154	1	59784
13346	1	19081
16850	13	2605
45583	3	54100
51552	2	12765
28891	18	24134
76102	8	66606
22354	19	67358
75406	2	32539
34293	1	65111
11308	1	13998
71774	1	6718
35094	1	55714
34248	1	65168
25749	1	44941
60894	12	23696
24080	2	65168
74209	1	72778
41888	1	6963
4252	19	39152
30208	1	31566
18722	1	45247
72473	1	17836
40809	20	75412
24033	1	66027
11543	1	10860
62830	9	51730
68832	1	32784
46591	9	73910
59432	21	47291
21964	22	53967
15892	1	19254
1905	1	42857
32602	23	40377
27144	4	28473
37681	1	42486
46999	1	52170
43485	3	29417
50006	3	1966
10888	1	71837
71033	23	29052
17074	4	9306
21166	1	36646
33056	9	40846
64673	23	75416
71307	4	63395
13500	3	74507
32313	15	58785
56556	1	54194
4229	1	6912
